營運日, 星期 , 總運量(單位：人次)
2017/2/15,三,"6,216"
2017/2/22,三,"2,813"
2017/3/1,三,"3,736"
2017/3/8,三,"2,837"
2017/3/15,三,"4,712"
2017/3/22,三,"5,299"
2017/3/29,三,"5,184"
2017/4/5,三,"5,669"
2017/4/12,三,"4,092"
2017/4/19,三,"4,958"
2017/4/26,三,"1,853"
2017/5/3,三,"5,455"
2017/5/10,三,"4,864"
2017/5/17,三,"5,001"
2017/5/24,三,"3,073"
2017/5/31,三,"4,063"
2017/6/7,三,"1,939"
2017/7/5,三,"5,237"
2017/7/12,三,"1,831"
2017/7/19,三,"5,773"
2017/7/26,三,"3,839"
2017/8/2,三,"2,837"
2017/8/9,三,"4,947"
2017/8/16,三,"6,120"
2017/8/23,三,"5,949"
2017/8/30,三,"3,790"
2017/9/6,三,"3,344"
2017/9/13,三,"1,024"
2017/9/20,三,"3,351"
2017/9/27,三,"3,221"
2017/10/4,三,"7,888"
2017/10/11,三,"2,848"
2017/10/18,三,"3,175"
2017/10/25,三,"5,652"
2017/11/1,三,"5,728"
2017/11/8,三,"3,932"
2017/11/15,三,"5,285"
2017/11/22,三,"4,265"
2017/11/29,三,"5,999"
2017/12/6,三,"4,279"
2017/12/13,三,"4,384"
2017/12/20,三,"5,769"
2017/12/27,三,"7,888"
2018/1/3,三,"6,932"
2018/1/10,三,"4,401"
2018/1/17,三,"5,238"
2018/1/24,三,"3,941"
2018/1/31,三,"3,758"
2018/2/7,三,"2,074"
2018/2/14,三,"6,538"
2018/2/21,三,"6,109"
2018/2/28,三,"6,691"
2018/3/7,三,"5,073"
2018/3/14,三,"7,483"
2018/3/21,三,"5,076"
2018/3/28,三,"7,044"
2018/4/4,三,"22,724"
2018/4/11,三,"4,344"
2018/4/18,三,"5,615"
2018/4/25,三,"5,243"
2018/5/2,三,"5,388"
2018/5/9,三,"3,709"
2018/5/30,三,"2,204"
2018/6/6,三,"1,695"
2018/6/13,三,"3,680"
2018/6/20,三,"4,354"
2018/6/27,三,"4,354"
2018/7/4,三,"5,598"
2018/7/11,三,"1,265"
2018/7/18,三,"6,091"
2018/7/25,三,"4,529"
2018/8/1,三,"4,119"
2018/8/8,三,"6,528"
2018/8/15,三,"4,082"
2018/8/22,三,"6,081"
2018/8/29,三,"4,695"
2018/9/5,三,"3,080"
2018/9/12,三,"2,908"
2018/9/19,三,"3,564"
2018/9/26,三,"2,916"
2018/10/3,三,"6,935"
2018/10/10,三,"8,929"
2018/10/17,三,"3,722"
2018/10/24,三,"5,424"
2018/10/31,三,"3,207"
2018/11/7,三,"4,823"
2018/11/14,三,"5,181"
2018/11/21,三,"6,612"
2018/11/28,三,"3,604"
2018/12/5,三,"4,030"
2018/12/12,三,"3,930"
2018/12/19,三,"5,294"
2018/12/26,三,"5,786"
2019/1/2,三,"4,318"
2019/1/9,三,"4,177"
2019/1/16,三,"2,812"
2019/1/23,三,"6,072"
2019/1/30,三,"6,895"
2019/2/6,三,"19,994"
2019/2/13,三,"7,595"
2019/2/20,三,"8,134"
2019/2/27,三,"6,239"
2019/3/6,三,"3,597"
2019/3/13,三,"5,013"
2019/3/20,三,"6,490"
2019/3/27,三,"6,158"
2019/4/3,三,"4,079"
2019/4/10,三,"4,705"
2019/4/17,三,"7,656"
2019/4/24,三,"6,208"
2015/1/2,五,"22,754"
2015/1/9,五,"5,330"
2015/1/16,五,"7,131"
2015/1/23,五,"7,794"
2015/1/30,五,"9,161"
2015/2/6,五,"7,312"
2015/2/13,五,"11,216"
2015/2/20,五,"23,926"
2015/2/27,五,"21,852"
2015/3/6,五,"5,146"
2015/3/13,五,"5,999"
2015/3/20,五,"7,956"
2015/3/27,五,"5,012"
2015/6/5,五,"4,386"
2015/6/12,五,"7,767"
2015/6/19,五,"6,712"
2015/6/26,五,"7,273"
2015/7/3,五,"4,678"
2015/7/17,五,"8,526"
2015/7/24,五,"5,694"
2015/7/31,五,"10,032"
2015/8/7,五,819
2015/8/21,五,"7,050"
2015/8/28,五,"1,511"
2015/9/4,五,"6,950"
2015/9/11,五,"6,948"
2015/9/18,五,"6,901"
2015/9/25,五,"7,074"
2015/10/2,五,"6,891"
2015/10/9,五,"7,483"
2015/10/16,五,"8,748"
2015/10/23,五,"7,073"
2015/10/30,五,"8,178"
2015/11/3,五,"5,283"
2015/11/10,五,"7,975"
2015/11/17,五,"9,258"
2015/11/24,五,"6,511"
2015/12/4,五,"7,541"
2015/12/11,五,"8,801"
2015/12/18,五,"7,947"
2015/12/25,五,"7,177"
2016/2/5,五,"3,997"
2016/2/12,五,"22,011"
2016/2/19,五,"5,212"
2016/2/26,五,"3,440"
2016/3/4,五,"6,613"
2016/3/11,五,"2,854"
2016/3/18,五,"2,227"
2016/3/25,五,"3,646"
2016/4/1,五,"10,803"
2016/4/8,五,"6,215"
2016/4/15,五,"5,179"
2016/4/22,五,"1,991"
2016/4/29,五,"6,731"
2016/6/3,五,"5,290"
2016/6/10,五,"9,075"
2016/6/17,五,"3,127"
2016/6/24,五,"3,114"
2016/8/5,五,"7,620"
2016/8/12,五,"8,207"
2016/8/19,五,"3,759"
2016/8/26,五,"6,909"
2016/9/2,五,"4,035"
2016/9/9,五,"2,623"
2016/9/16,五,"16,651"
2016/9/23,五,"5,331"
2016/9/30,五,"4,159"
2016/10/7,五,"1,958"
2016/10/14,五,"8,834"
2016/10/21,五,"5,077"
2016/10/28,五,"5,683"
2016/11/4,五,"4,531"
2016/11/11,五,"9,227"
2016/11/18,五,"6,506"
2016/11/25,五,"6,600"
2016/12/2,五,"5,164"
2016/12/9,五,"6,422"
2016/12/16,五,"5,105"
2016/12/23,五,"7,852"
2016/12/30,五,"9,707"
2017/1/6,五,"5,158"
2017/1/13,五,"2,133"
2017/1/20,五,"3,796"
2017/2/3,五,"12,011"
2017/2/10,五,"6,467"
2017/2/17,五,"6,912"
2017/2/24,五,"1,535"
2017/3/3,五,"4,247"
2017/3/10,五,"2,398"
2017/3/17,五,"5,116"
2017/3/24,五,"6,864"
2017/3/31,五,"2,260"
2017/4/7,五,"4,586"
2017/4/14,五,"7,584"
2017/4/21,五,"4,273"
2017/4/28,五,"6,960"
2017/5/5,五,"3,470"
2017/5/12,五,"4,639"
2017/5/19,五,"4,256"
2017/5/26,五,"5,182"
2017/6/9,五,"3,687"
2017/7/7,五,"3,622"
2017/7/14,五,"6,042"
2017/7/21,五,"5,924"
2017/7/28,五,"6,183"
2017/8/4,五,"6,363"
2017/8/11,五,"5,213"
2017/8/18,五,"7,067"
2017/8/25,五,"6,374"
2017/9/1,五,"2,308"
2017/9/8,五,"1,934"
2017/9/15,五,"3,765"
2017/9/22,五,"3,646"
2017/9/29,五,"2,156"
2017/10/6,五,"6,483"
2017/10/13,五,"1,813"
2017/10/20,五,"3,426"
2017/10/27,五,"7,057"
2017/11/3,五,"4,576"
2017/11/10,五,"6,445"
2017/11/17,五,"6,970"
2017/11/24,五,"5,181"
2017/12/1,五,"4,123"
2017/12/8,五,"4,376"
2017/12/15,五,"6,679"
2017/12/22,五,"6,857"
2017/12/29,五,"8,746"
2018/1/5,五,"3,340"
2018/1/12,五,"4,348"
2018/1/19,五,"2,650"
2018/1/26,五,"4,999"
2018/2/2,五,"3,063"
2018/2/9,五,"4,588"
2018/2/16,五,"19,509"
2018/2/23,五,"6,877"
2018/3/2,五,"4,790"
2018/3/9,五,"4,228"
2018/3/16,五,"4,948"
2018/3/23,五,"8,024"
2018/3/30,五,"6,342"
2018/4/6,五,"8,122"
2018/4/13,五,"5,140"
2018/4/20,五,"6,088"
2018/4/27,五,"6,531"
2018/5/4,五,"4,601"
2018/5/11,五,"5,162"
2018/6/1,五,"4,424"
2018/6/8,五,"5,862"
2018/6/15,五,"3,198"
2018/6/22,五,"1,754"
2018/6/29,五,"2,244"
2018/7/6,五,"4,325"
2018/7/13,五,"5,704"
2018/7/20,五,"6,381"
2018/7/27,五,"3,716"
2018/8/3,五,"3,631"
2018/8/10,五,"6,491"
2018/8/17,五,"3,680"
2018/8/24,五,"4,247"
2018/8/31,五,"2,299"
2018/9/7,五,"1,575"
2018/9/14,五,"4,160"
2018/9/21,五,"4,252"
2018/9/28,五,"2,633"
2018/10/5,五,"6,099"
2018/10/12,五,"3,367"
2018/10/19,五,"4,225"
2018/10/26,五,"6,614"
2018/11/2,五,"2,765"
2018/11/9,五,"5,005"
2018/11/16,五,"6,435"
2018/11/23,五,"3,997"
2018/11/30,五,"6,952"
2018/12/7,五,"4,440"
2018/12/14,五,"4,606"
2018/12/21,五,"8,035"
2018/12/28,五,"5,445"
2019/1/4,五,"6,830"
2019/1/11,五,"5,690"
2019/1/18,五,"6,189"
2019/1/25,五,"7,211"
2019/2/1,五,"4,318"
2019/2/8,五,"19,527"
2019/2/15,五,"9,049"
2019/2/22,五,"4,174"
2019/3/1,五,"15,555"
2019/3/8,五,"2,480"
2019/3/15,五,"6,458"
2019/3/22,五,"4,721"
2019/3/29,五,"5,447"
2019/4/5,五,"15,671"
2019/4/12,五,"4,757"
2019/4/19,五,"5,999"
2019/4/26,五,"6,628"
2015/1/3,六,"21,881"
2015/1/10,六,"11,861"
2015/1/17,六,"11,579"
2015/1/24,六,"14,615"
2015/1/31,六,"11,425"
2015/2/7,六,"14,423"
2015/2/14,六,160
2015/2/21,六,"25,580"
2015/2/28,六,"22,531"
2015/3/7,六,"13,092"
2015/3/14,六,"16,773"
2015/3/21,六,"13,208"
2015/3/28,六,"15,836"
2015/6/6,六,"5,817"
2015/6/13,六,"6,405"
2015/6/20,六,"9,267"
2015/6/27,六,"11,505"
2015/7/4,六,"8,564"
2015/7/11,六,"4,255"
2015/7/18,六,"15,083"
2015/7/25,六,"9,204"
2015/8/1,六,"16,565"
2015/8/15,六,"16,321"
2015/8/22,六,"8,616"
2015/8/29,六,"9,973"
2015/9/5,六,"14,923"
2015/9/12,六,"13,441"
2015/9/19,六,"15,638"
2015/9/26,六,"13,077"
2015/10/3,六,"16,552"
2015/10/10,六,"17,730"
2015/10/17,六,"15,202"
2015/10/24,六,"12,522"
2015/10/31,六,"11,088"
2015/11/4,六,"6,265"
2015/11/11,六,"5,033"
2015/11/18,六,"7,988"
2015/11/25,六,"5,944"
2015/12/5,六,"14,952"
2015/12/12,六,"14,258"
2015/12/19,六,"13,494"
2015/12/26,六,"15,225"
2016/2/6,六,"5,213"
2016/2/13,六,"21,087"
2016/2/20,六,"8,418"
2016/2/27,六,"6,376"
2016/3/5,六,"14,182"
2016/3/12,六,"5,642"
2016/3/19,六,"2,172"
2016/3/26,六,"14,220"
2016/4/2,六,"16,226"
2016/4/9,六,"11,823"
2016/4/16,六,"12,209"
2016/4/23,六,"11,161"
2016/4/30,六,"11,699"
2016/6/4,六,"7,822"
2016/6/11,六,"11,556"
2016/6/18,六,"3,953"
2016/6/25,六,"6,111"
2016/8/6,六,"10,508"
2016/8/13,六,"11,912"
2016/8/20,六,"13,323"
2016/8/27,六,"8,906"
2016/9/3,六,"7,700"
2016/9/10,六,"2,154"
2016/9/24,六,"13,347"
2016/10/1,六,"11,682"
2016/10/8,六,"9,692"
2016/10/15,六,"7,850"
2016/10/22,六,"8,645"
2016/10/29,六,"8,925"
2016/11/5,六,"13,245"
2016/11/12,六,"13,296"
2016/11/19,六,"14,150"
2016/11/26,六,"10,389"
2016/12/3,六,"12,472"
2016/12/10,六,"11,180"
2016/12/17,六,"11,322"
2016/12/24,六,"12,328"
2016/12/31,六,"19,944"
2017/1/7,六,"9,509"
2017/1/14,六,"4,260"
2017/1/21,六,"7,540"
2017/1/28,六,"21,326"
2017/2/4,六,"16,817"
2017/2/11,六,"7,862"
2017/2/18,六,"10,387"
2017/2/25,六,"4,013"
2017/3/4,六,"12,076"
2017/3/11,六,"10,747"
2017/3/18,六,"12,543"
2017/3/25,六,"6,147"
2017/4/1,六,"9,096"
2017/4/8,六,"12,012"
2017/4/15,六,"12,185"
2017/4/22,六,"5,770"
2017/4/29,六,"13,643"
2017/5/6,六,"10,058"
2017/5/13,六,"5,009"
2017/5/20,六,"11,712"
2017/5/27,六,"7,776"
2017/6/3,六,"1,561"
2017/6/10,六,"4,492"
2017/7/8,六,"8,334"
2017/7/15,六,"10,093"
2017/7/22,六,"9,644"
2017/7/29,六,"2,707"
2017/8/5,六,"11,012"
2017/8/12,六,"11,446"
2017/8/19,六,"10,855"
2017/8/26,六,"10,010"
2017/9/2,六,"5,575"
2017/9/9,六,"7,847"
2017/9/16,六,"9,523"
2017/9/23,六,"9,805"
2017/9/30,六,"7,478"
2017/10/7,六,"11,061"
2017/10/14,六,"2,147"
2017/10/21,六,"6,627"
2017/10/28,六,"12,029"
2017/11/4,六,"7,129"
2017/11/11,六,"9,346"
2017/11/18,六,"4,982"
2017/11/25,六,"5,067"
2017/12/2,六,"7,634"
2017/12/9,六,"7,223"
2017/12/16,六,"6,107"
2017/12/23,六,"12,315"
2017/12/30,六,"13,299"
2018/1/6,六,"4,392"
2018/1/13,六,"9,079"
2018/1/20,六,"7,851"
2018/1/27,六,"11,143"
2018/2/3,六,"2,700"
2018/2/10,六,"4,116"
2018/2/17,六,"18,953"
2018/2/24,六,"12,847"
2018/3/3,六,"12,014"
2018/3/10,六,"14,380"
2018/3/17,六,"11,929"
2018/3/24,六,"14,762"
2018/3/31,六,"10,592"
2018/4/7,六,"13,903"
2018/4/14,六,678
2018/4/21,六,"12,977"
2018/4/28,六,"12,132"
2018/5/5,六,"11,046"
2018/5/12,六,"9,631"
2018/6/2,六,"10,070"
2018/6/9,六,"10,286"
2018/6/16,六,"9,374"
2018/6/23,六,"4,425"
2018/6/30,六,"4,747"
2018/7/7,六,"3,520"
2018/7/14,六,"11,076"
2018/7/21,六,"8,473"
2018/7/28,六,"12,862"
2018/8/4,六,"5,909"
2018/8/11,六,"11,313"
2018/8/18,六,"8,687"
2018/8/25,六,"7,703"
2018/9/1,六,"5,081"
2018/9/8,六,"3,706"
2018/9/15,六,467
2018/9/22,六,"10,010"
2018/9/29,六,"5,984"
2018/10/6,六,"13,473"
2018/10/13,六,"7,277"
2018/10/20,六,"11,988"
2018/10/27,六,"10,676"
2018/11/3,六,"10,015"
2018/11/10,六,"12,042"
2018/11/17,六,"8,093"
2018/11/24,六,"10,618"
2018/12/1,六,"12,665"
2018/12/8,六,"9,295"
2018/12/15,六,"11,132"
2018/12/22,六,"10,977"
2018/12/29,六,"11,102"
2019/1/5,六,"9,051"
2019/1/12,六,"9,035"
2019/1/19,六,"10,961"
2019/1/26,六,"7,601"
2019/2/2,六,"8,990"
2019/2/9,六,"15,837"
2019/2/16,六,"11,355"
2019/2/23,六,"7,276"
2019/3/2,六,"17,579"
2019/3/9,六,"4,504"
2019/3/16,六,"12,160"
2019/3/23,六,"8,239"
2019/3/30,六,"10,610"
2019/4/6,六,"11,717"
2019/4/13,六,"8,741"
2019/4/20,六,"11,318"
2019/4/27,六,"10,804"
2015/1/4,日,"17,204"
2015/1/11,日,"13,788"
2015/1/18,日,"13,985"
2015/1/25,日,"15,929"
2015/2/1,日,"15,892"
2015/2/8,日,"10,852"
2015/2/15,日,"14,527"
2015/2/22,日,"23,393"
2015/3/1,日,"14,451"
2015/3/8,日,"15,368"
2015/3/15,日,"17,655"
2015/3/22,日,"15,449"
2015/3/29,日,"16,910"
2015/6/7,日,"5,511"
2015/6/14,日,"4,461"
2015/6/21,日,"6,033"
2015/6/28,日,"12,430"
2015/7/5,日,"12,720"
2015/7/12,日,"9,515"
2015/7/19,日,"6,422"
2015/7/26,日,"10,062"
2015/8/2,日,"18,097"
2015/8/16,日,"14,599"
2015/8/23,日,"6,311"
2015/8/30,日,"10,709"
2015/9/6,日,"14,552"
2015/9/13,日,"14,683"
2015/9/20,日,"16,473"
2015/9/27,日,"10,123"
2015/10/4,日,"17,120"
2015/10/11,日,"14,546"
2015/10/18,日,"15,170"
2015/10/25,日,"16,240"
2015/11/5,日,"7,942"
2015/11/12,日,"7,989"
2015/11/19,日,"8,527"
2015/11/26,日,"6,674"
2015/12/6,日,"9,525"
2015/12/13,日,"17,048"
2015/12/20,日,"16,015"
2015/12/27,日,"9,322"
2016/2/14,日,"4,794"
2016/2/21,日,"10,195"
2016/2/28,日,"18,396"
2016/3/6,日,"15,310"
2016/3/13,日,"9,629"
2016/3/20,日,"11,748"
2016/3/27,日,"14,879"
2016/4/3,日,"17,657"
2016/4/10,日,"3,090"
2016/4/17,日,"9,468"
2016/4/24,日,"9,269"
2016/6/5,日,15
2016/6/12,日,"10,223"
2016/6/19,日,"7,783"
2016/6/26,日,"5,631"
2016/8/7,日,"11,275"
2016/8/14,日,"14,569"
2016/8/21,日,"14,245"
2016/8/28,日,"7,457"
2016/9/4,日,"12,303"
2016/9/11,日,"5,767"
2016/9/18,日,"8,096"
2016/9/25,日,"13,492"
2016/10/2,日,"13,311"
2016/10/9,日,"11,403"
2016/10/16,日,"13,161"
2016/10/23,日,"12,356"
2016/10/30,日,"11,571"
2016/11/6,日,"14,075"
2016/11/13,日,"14,557"
2016/11/20,日,"13,371"
2016/11/27,日,"5,497"
2016/12/4,日,"13,617"
2016/12/11,日,"10,816"
2016/12/18,日,"12,965"
2016/12/25,日,"14,077"
2017/1/1,日,"19,008"
2017/1/8,日,"9,210"
2017/1/15,日,"6,086"
2017/1/22,日,"10,104"
2017/1/29,日,"21,252"
2017/2/5,日,"15,711"
2017/2/12,日,"11,570"
2017/2/19,日,"8,244"
2017/2/26,日,"9,126"
2017/3/5,日,"12,963"
2017/3/12,日,"13,792"
2017/3/19,日,"10,722"
2017/3/26,日,"5,835"
2017/4/2,日,"15,497"
2017/4/9,日,"12,748"
2017/4/16,日,"8,677"
2017/4/23,日,"11,852"
2017/4/30,日,"14,846"
2017/5/7,日,"12,381"
2017/5/14,日,"11,241"
2017/5/21,日,"11,758"
2017/5/28,日,"16,060"
2017/6/4,日,"1,780"
2017/6/11,日,"4,219"
2017/7/2,日,"10,141"
2017/7/9,日,"7,683"
2017/7/16,日,"7,156"
2017/7/23,日,"10,479"
2017/8/6,日,"10,666"
2017/8/13,日,"12,475"
2017/8/20,日,"11,861"
2017/8/27,日,"8,571"
